NAME,COMMON,BINOMIAL,FAMILY
climbing bittersweet,bittersweet|waxwork|shrubby bittersweet|false bittersweet|climbing bittersweet|american bittersweet,celastrus scandens,celastraceae
climbing lily,gloriosa lily|glory lily|superb lily,gloriosa superba,liliaceae
climbing nightshade,european bittersweet|deadly nightshade|violet bloom|blue nightshade|soda apple|poisonous nightshade|felonwort|devil's apple|scarlet berry|woody nightshade|blue blindweed,solanum dulcamara,solanaceae
clivia lily,kaffir lily|clivies|caffre lily|cape clivia|klivia,clivia spp.,amaryllidaceae
clusia rosea,clusia,clusia major,clusiaceae
coffee tree,wild coffee|geranium-leaf aralia,polyscias guilfoylei,araliaceae
coleus,indian borage|bread and butter plant|spanish thyme|east indian thyme|stinging thyme|country boarage,coleus ampoinicus,labiatae
common privet,privet|amur|wax-leaf,ligustrum vulgare,oleaceae
coontie palm,sago palm|cardboard palm|cycads|zamias,zamia pumila,cycadaceae
cordatum,fiddle-leaf|horsehead philodendron|heartleaf philodendron|panda plant|split leaf philodendron|fruit salad plant|red emerald|red princess|saddle leaf,philodendron oxycardium,araceae
corn plant,corn plant|cornstalk plant|dracaena|dragon tree|ribbon plant,dracaena fragrans,asparagaceae
cornstalk plant,corn plant|dracaena|dragon tree|ribbon plant,dracaena fragrans,agavaceae
cow parsnip,giant hogweed,heracleum maximum,apiaceae
cowbane,water hemlock|poison parsnip,cicuta species,apiaceae
cuckoo-pint,arum|lord-and-ladies|adam-and-eve|starch root|bobbins|wake robin,arum maculatum,araceae
cutleaf philodendron,hurricane plant|swiss cheese plant|ceriman|mexican breadfruit|split-leaf philodendron|window leaf plant,monstera deliciosa,araceae
cycads,sago palm|fern palm,cycas and zamia species,cycadaceae
cyclamen,sowbread,cyclamen spp,primulaceae
daffodil,narcissus|jonquil|paper white,narcissus spp,amaryllidaceae
dahlia,,dahlia pinnata,asteraceae
daisy,chrysanthemum,mum,chrysanthemum species,compositae
day lilies,,,hemerocallis spp.,xanthorrhoeaceae
deadly nightshade,nightshade|black nightshade|european bittersweet|climbing nightshade,solanum spp,solanaceae
desert azalea,desert rose|mock azalea|sabi star|impala lily|kudu lily,adenium obesum,apocynaceae
desert rose,desert azalea|mock azalea|sabi star|impala lily|kudu lily,adenium obesum,apocynaceae
devil's backbone,mother-in-law-plant|kalanchoe|chandelier plant|mother of millions,kalanchoe tubiflora,crassulaceae
devils ivy,pothos|golden pothos|taro vine|ivy arum,epipremnum aureum,araceae
dieffenbachia,charming dieffenbachia|giant dumb cane|tropic snow|dumbcane|exotica|spotted dumb cane|exotica perfection,dieffenbachia,araceae
dock,sorrel,rumex sp.,polygonaceae
dog daisy,dog fennel,achillea millefolium,compositae
dog hobble,dog laurel|fetter bush|black laurel,leucothoe sp.,ericaceae
dogbane hemp,bitterroot|indian hemp,apocynum spp.,apocynaceae
dracaena,corn plant|cornstalk plant|dragon tree|ribbon plant,dracaena spp.,agavaceae
dumbcane,charming dieffenbachia|giant dumb cane|tropic snow|exotica|spotted dumb cane|exotica perfection|dieffenbachia,dieffenbachia,araceae
dwarf poinciana,barbados pride|peacock flower,caesalpinia pulcherrima,fabaceae
easter lily,,lilium longiflorum,liliaceae
easter rose,hellebore|christmas rose|lenten rose,helleborus niger,ranunculaceae
eastern star,,dianthus spp.,caryophyllaceae
elephant ears,caladium|taro|pai|ape|cape|via|via sori|malanga,caladium hortulanum,araceae
elephant ears,caladium|malanga,colocasia esculenta,araceae
elephant-ear begonia,,begonia scharfii,begoniaceae
emerald feather,emerald fern|asparagus|asparagus fern|sprengeri fern|plumosa fern|lace fern|racemose asparagus|shatavari,asparagus densiflorus,liliaceae
english holly,european holly|oregon holly|inkberry|winterberry|american holly,ilex aquifolium,aquifoliaceae
english ivy,branching ivy|glacier ivy|needlepoint ivy|sweetheart ivy|california ivy,hedera helix,araliaceae
english yew,western yew|pacific yew|japanese yew|anglo-japanese yew,taxus baccata,taxaceae
epazote,wormseed|jusuit's tea|mexican tea|paico,chenopodium ambrosioides,chenopodiaceae
eucalyptus,,eucalyptus species,myrtaceae
european bittersweet,climbing nightshade|deadly nightshade,solanum dulcamara,solanaceae
european holly,european holly|oregon holly|inkberry|winterberry|american holly|english holly,ilex aquifolium,aquifoliaceae
everlasting pea,sweet pea|perennial pea,lathyrus latifolius,fabaceae
exotica,charming dieffenbachia|giant dumb cane|tropic snow|dumbcane|spotted dumb cane|exotica perfection|dieffenbachia,dieffenbachia amoena,araceae
false bittersweet,american bittersweet,celastrus scandens,celastraceae
false queen anne’s lace,bishop's weed|greater ammi,ammi majus,apiaceae
feather geranium,jerusalem oak|ambrosia mexicana,ambrosia mexicana,chenopodiaceae
fern palm,sago palm|cycads,zamia spp.,cycadaceae
fetter bush,dog laurel|dog hobble|black laurel,leucothoe spp.,ericaceae
fetterbush,staggerberry|maleberry,lyonia spp.,ericaceae
fiddle-leaf,horsehead philodendron|cordatum|heartleaf philodendron|panda plant|split leaf philodendron|fruit salad plant|red emerald|red princess|saddle leaf,philodendron bipennifolium,araceae
fig,weeping fig|indian rubber plant,ficus benjamina,moraceae
figwort,buttercup|butter cress|burwort|crowfoot burwort,ranunculus acris,ranunculaceae
fire lily,amaryllis|barbados lily|lily of the palace|ridderstjerne,hippeastrum spp.,amaryllidaceae
flag,iris|snake lily|water flag,iris species,iridaceae
flamingo flower,flamingo lily|tail flower|oilcloth flower|pigtail plant|painter's pallet,anthurium scherzeranum,araceae
fleabane,showy daisy|horseweed|seaside daisy,erigeron speciosus,asteraceae
florida beauty,gold dust dracaena|spotted dracaena,dracaena surculosa,asparagaceae
florist's calla,calla lily|pig lily|white arum|trumpet lily|arum lily|garden calla|arum lily,zantedeschia aethiopica,araceae
foxglove,,digitalis purpurea,scrophalariaceae
franciscan rain tree,yesterday|today|tomorrow|lady-of-the-night|morning-noon-and-night|kiss-me-quick,brunfelsia species,solanaceae
garden calla,calla lily|pig lily|white arum|trumpet lily|florist's calla|arum lily,zantedeschia aethiopica,araceae
garden chamomile,chamomile|ground apple|roman chamomile,anthemis nobilis,asteraceae
garden hyacinth,hyacinth,hyacinthus orientalis,liliaceae
gardenia,cape jasmine,gardenia jasminoides,rubiaceae
garlic,stinking rose|rustic treacle|camphor of the poor|nectar of the gods|serpent garlic|rocambole,allium sativum,liliaceae
geranium,,pelargonium species,geraniaceae
geranium-leaf aralia,wild coffee|coffee tree,polyscias guilfoylei,araliaceae
giant dracaena,palm lily|grass palm,cordyline australis,agavaceae
giant dumb cane,charming dieffenbachia|tropic snow|dumbcane|exotica|spotted dumb cane|exotica perfection|dieffenbachia,dieffenbachia amoena,araceae
giant hogweed,cow parsnip,heracleum maximum,apiaceae
glacier ivy,english ivy|branching ivy|needlepoint ivy|sweetheart ivy|california ivy,hedera helix,araliaceae
gladiola,,gladiolus species,iridaceae
gloriosa lily,glory lily|climbing lily|superb lily,gloriosa superba,liliaceae
gold dieffenbachia,,dieffenbachia picta,araceae
gold dust dracaena,florida beauty,dracaena surculosa,agavaceae
golden birds nest,snake plant|mother-in-law’s tongue|good luck plant,sansevieria trifasciata,agavaceae
golden pothos,pothos|devil's ivy|taro vine|ivy arum,epipremnum aureum,araceae
golden ragwort,ragwort,senecio species,compositae
good luck plant,shamrock plant|sorrel,oxalis spp.,
grapefruit,,citrus paradisii,rutaceae
grass palm,giant dracaena|palm lily,cordyline australis,agavaceae
greater ammi,bishop's weed|false queen anne's lace,ammi majus,apiaceae
green gold naphthysis,nephthytis|arrow-head vine,syngonium podophyllum,araceae
ground apple,chamomile|garden chamomile|roman chamomile,anthemis nobilis,asteraceae
groundsel,ragwort|senecio,senecio species,compositae
hahn's self branching english ivy,branching ivy|glacier ivy|needlepoint ivy|sweetheart ivy|california ivy|english ivy,hedera helix,araliaceae
hashish,marijuana|indian hemp,cannabis sativa,cannabaceae
hawaiian ti,snake plant|giant dracaena,giant dracaena,agavaceae
heartleaf philodendron,cordatum|sweetheart plant,philodendron hederaceum,araceae
heavenly bamboo,sacred bamboo|nandina,nandina domestica,berberidaceae
hellebore,christmas rose|lenten rose|easter rose,helleborus niger,ranunculaceae
hercules' club,angelica tree|devil's walking stick|prickly ash|prickly elder,aralia spinosa,araliaceae
hills of snow,hydrangea|hortensia|seven bark,hydrangea arborescens,hydrangeaceae
holly,english holly|european holly|oregon holly|inkberry|winterberry|american holly,ilex opaca,aquifoliaceae
horse chestnut,buckeye,aesculus glabra,hippocastanaceae
horsehead philodendron,horsehead philodendron|lacy tree philodendron|selloum|violin philodendron|fiddle leaf philodendron,philodendron bipennifolium,araceae
horseweed,showy daisy|fleabane|seaside daisy,erigeron speciosus,asteraceae
hortensia,hydrangea|hills of snow|seven bark,hydrangea arborescens,hydrangeaceae
hosta,plantain lily|funkia,hosta plataginea,liliaceae
hurricane plant,cutleaf philodendron|swiss cheese plant|ceriman|mexican breadfruit,monstera deliciosa,araceae
hyacinth,,hyacinthus orientalis,liliaceae
hydrangea,hortensia|hills of snow|seven bark,hydrangea arborescens,hydrangeaceae
impala lily,desert rose|mock azalea|sabi star|desert azalea|kudu lily,adenium obesum,apocynaceae
inch plant,speedy henry,tradescantia flumeninsis,commelinaceae
indian apple,mayapple|indian apple root|umbrella leaf|wild lemon|hog apple|duck's foot|raccoonberry|american mandrake,podophyllum peltatum,berberidaceae
indian borage,bread and butter plant|country borage|spanish thyme|coleus|maratha|militini|east indian thyme,coleus ampoinicus,labiatae
indian hemp,dogbane hemp|bitter root,apocynum androsaemifolium,apocynaceae
indian hemp,marijuana|hashish,cannabis sativa,cannabaceae
indian pink,lobelia|cardinal flower,lobelia cardinalis,campanulaceae
indian rubber plant,fig|weeping fig,ficus benjamina,moraceae
inkberry,english holly|european holly|oregon holly|american holly|winterberry,ilex opaca,aquifoliaceae
iris,flag|snake lily|water flag,iris species,iridaceae
iron cross begonia,,begonia masoniana,
ivy arum,pothos|golden pothos|taro vine|devil's ivy,epipremnum aureum,araceae
jack-in-the-pulpit,three-leaved indian turnip|devil's dear|wake robin|starch wort|wild turnip|dragon root|bog onion|pepper turnip|brown dragon|memory root,arisaema triphyllum,araceae
jade plant,baby jade|dwarf rubber plant|jade tree|chinese rubber plant|japanese rubber plant,crassula argentea,crassulaceae
japanese show lily,,lilium speciosum,liliaceae
japanese yew,english yew|western yew|pacific yew|anglo-japanese yew,taxus sp.,taxaceae
jerusalem cherry,natal cherry|winter cherry,solanum pseudocapsicum,solanaceae
jerusalem oak,feather geranium|ambrosia mexicana,ambrosia mexicana,chenopodiaceae
jonquil,daffodil|narcissus|paper white,narcissus jonquilla,amaryllidaceae
kaffir lily,clivia lily,clivia minata,amaryllidaceae
kalanchoe,mother-in-law-plant|devils backbone|chandelier plant|mother of millions,kalanchoe spp,crassulaceae
kiss-me-quick,yesterday|today|tomorrow|lady-of-the-night|morning-noon-and-night|fransiscan rain tree,brunfelsia species,solanaceae
klamath weed,st. john's wort,hypericum perforatum,clusiaceae
kudu lily,desert azalea|mock azalea|sabi star|impala lily|desert rose,adenium obesum,apocynaceae
lace fern,asparagus|emerald feather|emerald fern|sprengeri fern|plumosa fern|asparagus fern|racemose asparagus|shatavari,asparagus densiflorus cv sprengeri,liliaceae
lacy tree philodendron,,philodendron selloum,araceae
lady-of-the-night,yesterday-today-tomorrow|kiss-me-quick|morning-noon-and-night|fransiscan rain tree,brunfelsia species,solanaceae
lambkill,sheep laurel,kalmia augustifolia,ericaceae
lantana,shrub verbena|yellow sage|red sage,lantana camara,verbenaceae
larkspur,,delphinium species,ranunculaceae
laurel,mountain laurel|spoonwood|mountain ivy|calico bush|ivy bush,kalmia latifolia,ericaceae
lavender,common lavender|english lavender,lavendula angustifolia,lamiaceae
leatherflower,clematis|virgin's bower,clematis sp.,ranunculaceae
leek,elephant garlic,allium ampeloprasum,liliaceae
lemon,,citrus limonia,rutaceae
lemon grass,oil grass,cymbopogon citratus,poaceae
lemon verbena,lemon beebrush,aloysia triphylla,verbenaceae
lenten rose,hellebore|christmas rose|easter rose,helleborus niger,ranunculaceae
lily,,lilium species,liliaceae
lily of the palace,amaryllis|fire lily|barbados lily|ridderstjerne,hippeastrum spp.,amaryllidaceae
lily of the valley,,convallaria majalis,asparagaceae
lily-of-the-valley bush,andromeda japonica|pieris,pieris japonica,ericaceae
lime,,citrus aurantifolia,rutaceae
lobelia,cardinal flower|indian pink,lobelia cardinalis,campanulaceae
locust,,robinia spp.,mimosaceae
lord-and-ladies,arum|wake robin|adam-and-eve|starch root|bobbins|cuckoo plant,arum maculatum,araceae
lovage,maggi plant|smellage,levisticum officinale,apiaceae
madagascar dragon tree,,dracaena marginata,asparagaceae
maidens breath,baby's breath,gypsophila elegans,caryophyllaceae
malanga,caladium|elephant's ears,colocasia esculenta,araceae
maleberry,staggerbush|fetterbush,lyonia sp.,ericaceae
mapleleaf begonia,,begonia cleopatra,begoniaceae
marble queen,golden pothos,scindapsus aureus,araceae
marijuana,indian hemp|hashish,cannabis sativa,cannabaceae
marjoram,knotted marjoram|pot marjoram,origanum majorana,lamiaceae
mauna loa peace lily,peace lily,spathiphyllum,araceae
mayapple,indian apple root|umbrella leaf|wild lemon|hog apple|duck's foot|raccoonberry|american mandrake,podophyllum peltatum,berberidaceae
mayweed,poison daisy|stinking chamomile,anthemis cotula,asteraceae
meadow saffron,autumn crocus,colchicum autumnale,liliaceae
metallic leaf begonia,,begonia metallica,begoniaceae
mexican breadfruit,cutleaf philodendron|hurricane plant|swiss cheese plant|ceriman|split-leaf philodendron|window leaf plant,monstera deliciosa,araceae
milfoil,yarrow,achillea millefolium,asteraceae
milkweed,,asclepias species,asclepiadaceae
mint,garden mint,mentha sp.,lamiaceae
mistletoe "american",american mistletoe,phoradendron flavescens,viscaceae
mock azalea,desert rose|desert azalea|sabi star|impala lily|kudu lily,adenium obesum,apocynaceae
mole bean plant,,ricinus communis,euphobiaceae
morning glory,,ipomoea spp,convolvulaceae
morning-noon-and-night,yesterday-today-tomorrow|kiss-me-quick|lady-of-the-night|fransiscan rain tree,brunfelsia species,solanaceae
moss rose,wild portulaca|rock moss|purslane|pigwee|pusley,portulaca oleracea,portulacaceae
mother of millions,mother-in-law-plant|kalanchoe|devil's backbone|chandelier plant,kalanchoe tubiflora,crassulaceae
mother-in-law,,monstera deliciosa,araceae
mother-in-law plant,mother of millions|kalanchoe|devils backbone|chandelier plant,kalanchoe tubiflora,crassulaceae
mother-in-law’s tongue,snake plant|golden bird's nest|good luck plant,sansevieria trifasciata,agavaceae
mum,chrysanthemum,daisy,chrysanthemum spp.,compositae
naked lady,,amaryllis spp.,amaryllidaceae
nandina,sacred bamboo|heavenly bamboo,nandina domestica,berberidaceae
narcissus,daffodil|jonquil|paper white,narcissus spp,amaryllidaceae
nasturtium,watercress|brunnenkress,nasturtium officinale,brassicaceae
needlepoint ivy,branching ivy|glacier ivy|english ivy|sweetheart ivy|california ivy,hedera helix,araliaceae
nephthytis,arrow-head vine|green gold naphthysis|african evergreen|trileaf wonder,syngonium podophyllum,araceae
nicotiana,tree tobacco|tobacco|mustard tree,nicotiana glauca,solanaceae
nightshade,deadly nightshade|black nightshade,solanum spp,solanaceae
octopus tree,schefflera|umbrella tree|australian ivy palm|starleaf,schefflera or brassia actinoplylla,araliaceae
oilcloth flower,flamingo plant|flamingo lily|tail flower|pigtail plant|flamingo flower|painter's pallet,anthurium scherzeranum,araceae
oleander,rose-bay,nerium oleander,apocynaceae
onion,,allium cepa,liliaceae
orange,,citrus sinensis,rutaceae
orange day lily,,hemerocallis graminea,liliaceae
oregano,greek oregano,origanum vulgare hirtum,lamiaceae
oregon holly,english holly|european holly|inkberry|american holly|winterberry,ilex opaca,aquifoliaceae
ornamental pepper,natal cherry|winter cherry|jerusalem cherry,solanum pseudocapsicum,solanaceae
pacific yew,english yew|western yew|japanese yew|anglo-japanese yew,taxus brevifolia,taxaceae
painter's pallette,flamingo plant|flamingo lily|tail flower|oilcloth flower|pigtail plant|flamingo flower,anthurium scherzeranum,araceae
palm lily,giant dracaena|grass palm,cordyline australis,agavaceae
panda plant,horsehead philodendron|cordatum|heartleaf philodendron|panda plant|split leaf philodendron|fruit salad plant|red emerald|red princess|saddle leaf|fiddle-leaf,philodendron bipennifolium,araceae
paper white,daffodil|jonquil|narcissus,narcissus spp,amaryllidaceae
paraguayan jasmine,yesterday-today-tomorrow|lady-of-the-night|morning-noon-and-night|kiss-me-quick|fransiscan rain tree,brunfelsia species,solanaceae
parsley,italian parsley|hamburg parsley|turnip-rooted parsley,petroselinum crispum,apiaceae
peace begonia,,begonia rex 'peace',begoniaceae
peace lily,mauna loa peace lily,spathiphyllum,araceae
peach,,prunus persica,rosaceae
peacock flower,barbados pride|dwarf poinciana,caesalpinia pulcherrima,fabaceae
pencil cactus,sticks of fire,euphorbia tirucalli,euphorbiaceae
peony,,paeonis officinalis,paeniaceae
perennial pea,sweet pea|everlasting pea,lathyrus latifolius,fabaceae
periwinkle,running myrtle. vinca,vinca rosea,apocynaceae
philodendron pertusum,,philodendron spp,araceae
pie plant,rhubarb,rheum rhabarbarium,polygonaceae
pieris,lily-of-the-valley bush|andromeda japonica|fetterbush,pieris japonica,ericaceae
pig lily,calla lily|arum lily|white arum|trumpet lily|florist's calla|garden calla,zantedeschia aethiopica,araceae
pigtail plant,flamingo plant|flamingo lily|tail flower|oilcloth flower|painter's pallet|flamingo flower,anthurium scherzeranum,araceae
pink pearl,,begonia semperflorens cultivar,begoniaceae
pinks,carnation|wild carnation|sweet william,dianthus caryophyllus,caryophyllaceae
plantain lily,hosta,hosta plantaginea,liliaceae
plum,,prunus domestica,rosaceae
plumosa fern,asparagus|emerald feather|emerald fern|sprengeri fern|asparagus fern|lace fern|racemose asparagus|shatavari,asparagus densiflorus cv sprengeri,liliaceae
poinciana,peacock flower|bird of paradise|barbados pride|pride of barbados,caesalpinia gilliessi,leguminosae
poinsettia,,euphorbia pulcherrima,euphorbiaceae
poison daisy,mayweed|stinking chamomile,anthemis cotula,asteraceae
poison hemlock,poison parsley|spotted hemlock|winter fern|california fern|nebraska fern|deadly hemlock,conium maculatum,umbelliferae
poison parsnip,water hemlock|cowbane,cicuta maculata,apiaceae
portulaca,wild portulaca|rock moss|purslane|pigwee|pusley|moss rose,portulaca oleracea,portulacaceae
prayer bean,rosary pea|buddhist rosary bead|indian bead|indian licorice|love bean|lucky bean|seminole bead|weather plant|precatory bean,abrus precatorius,leguminosae
pride-of-india,china ball tree|paradise tree|persian lilac|white cedar|japanese bead tree|texas umbrella tree|bead tree|chinaberry tree,melia azedarach,meliaceae
primrose,,primula vulgaris,primulaceae
privet,amur|wax-leaf|common privet,ligustrum japonicum,oleaceae
purslane,wild portulaca|rock moss|portulaca|pigwee|pusley|moss rose,portulaca oleracea,portulacaceae
racemose asparagus,asparagus|emerald feather|emerald fern|sprengeri fern|plumosa fern|lace fern|asparagus fern|shatavari,asparagus densiflorus cv sprengeri,liliaceae
ragwort,golden ragwort|tansy,senecio species,compositae
ranger's button,white heads,sphenosciadium capitellatum,apiaceae
red emerald,horsehead philodendron|cordatum|heartleaf philodendron|panda plant|split leaf philodendron|fruit salad plant|fiddle leaf|red princess|saddle leaf,philodendron bipennifolium,araceae
red lily,,lilium umbellatum,liliaceae
red princess,horsehead philodendron|cordatum|heartleaf philodendron|panda plant|split leaf philodendron|fruit salad plant|fiddle leaf|red emerald|saddle leaf,philodendron bipennifolium,araceae
red-marginated dracaena,straight-marginated dracaena,dracaena marginata,agavaceae
rex begonia,,begonia rex,begoniaceae
rhododendron,rosebay|azalea,rhododendron spp,ericaceae
rhubarb,pie plant,rheum rhabarbarium,polygonaceae
ribbon plant,corn plant|cornstalk plant|dracaena|dragon tree,dracaena spp.,agavaceae
ridderstjerne,amaryllis|fire lily|lily of the palace|barbados lily,hippeastrum spp.,amaryllidaceae
rock moss,wild portulaca|moss rose|purslane|pigwee|pusley,portulaca oleracea,portulacaceae
roman chamomile,chamomile|garden chamomile|ground apple,anthemis nobilis,asteraceae
rosebay,rhododendron|azalea,rhododendron spp,ericaceae
rubrum lily,,lilium speciosum,liliaceae
running myrtle,periwinkle|vinca,vinca rosea,apocynaceae
sabi star,desert azalea|mock azalea|desert rose|impala lily|kudu lily,adenium obesum,apocynaceae
sacred bamboo,heavenly bamboo|nandina,nandina domestica,berberidaceae
saddle leaf,horsehead philodendron|cordatum|heartleaf philodendron|panda plant|split leaf philodendron|fruit salad plant|red emerald|red princess|fiddle leaf,philodendron bipennifolium,araceae
sago palm,coontie palm|cardboard palm|cycads|zamias,cycas revoluta,zamia species,cycadaceae
satin pothos,silk pothos,scindapsus pictus,araceae
scented geranium,geraniums,pelargonium sp.,geranilea
schefflera,umbrella tree|australian ivy palm|octopus tree|starleaf,schefflera,araliaceae
seaside daisy,showy daisy|horseweed|fleabane,erigeron speciosus,asteraceae
seven bark,hydrangea|hortensia|hills of snow,hydrangea arborescens,hydrangeaceae
shamrock plant,good luck plant|sorrel,oxalis spp.,oxalidaceae
shatavari,asparagus|emerald feather|emerald fern sprengeri fern|plumosa fern|lace fern|racemose asparagus,asparagus densiflorus cv sprengeri,liliaceae
showy daisy,seaside daisy|horseweed|fleabane,erigeron speciosus,asteraceae
silver dollar,silver jade plant|chinese jade,crassula arborescens,crassulaceae
silver jade plant,chinese jade|silver dollar,crassula arborescens,crassulaceae
skunk cabbage,skunk weed|polecat weed|meadow cabbage|swamp cabbage,symplocarpus foetidus,araceae
snake lilly,iris|flag|water flag,iris species,iridaceae
